measure_id,measure_name,location_id,location,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2013,69.21685032763789,69.79041250692586,68.631479629544
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2013,74.57915870338441,75.02001617598779,74.07885173406652
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2013,71.83050099210362,72.311371802976,71.31559011214378
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2001,65.08292412933558,65.54643618844635,64.59186064737771
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2001,70.11046304467529,70.56442482783089,69.65845773350134
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2001,67.5215432179608,67.93297542245823,67.09751062382729
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,1994,63.253841274082525,63.780805260988856,62.73193075139923
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,1994,68.42957214453918,68.8858736126874,67.97022028621642
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,1994,65.75806981016599,66.18308337974847,65.31073082370297
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2017,70.5194637586567,71.343631017115,69.71522834530226
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2017,75.74035531487041,76.38986186028329,75.06549354853748
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2017,73.07309805605698,73.75882440803299,72.40379207094446
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,1998,64.43271937401538,64.87458948073177,63.95737558515524
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,1998,69.43981854436076,69.88063277939104,69.00059742415368
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,1998,66.86180026691697,67.26546637874453,66.45259619725658
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,1993,63.39593965220007,63.87732896950843,62.8953367926598
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,1993,68.43629212506512,68.85818388587461,67.99229518130869
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,1993,65.8403442948851,66.24460989240282,65.43399033973171
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2005,66.1916525985517,66.70066641243754,65.69000981851465
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2005,71.3731322654043,71.78787330143392,70.91266085276322
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2005,68.70621744204244,69.1316940538553,68.25426115137655
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2010,67.99937116099187,68.49421638507141,67.49721096887504
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2010,73.38680405972916,73.79700766233948,72.93748347956334
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2010,70.61781738336789,71.02551652921413,70.19528406021193
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,1997,64.22794934775614,64.70122827261963,63.743930006702314
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,1997,69.24694764001377,69.63641546383617,68.82252428155991
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,1997,66.66197633560267,67.05581113892764,66.21422771788232
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2009,67.7683783724255,68.30510149979224,67.28926901928591
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2009,73.12038471670272,73.52179750462048,72.6635274223992
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2009,70.36948235638366,70.81019581834181,69.9464848589987
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2002,65.31130020602689,65.79078311172496,64.83009319956957
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2002,70.35640970394964,70.8225465005587,69.89251794418803
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2002,67.75888978258317,68.1713853769056,67.32638745764095
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2014,69.57383823646653,70.16182152180929,68.98157950100467
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2014,74.88283490539936,75.3956408059125,74.36391816332635
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2014,72.16497487222594,72.68899206385333,71.65725399606178
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2008,67.26961268105366,67.77457595478863,66.7521756780213
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2008,72.60887189916477,73.01796268893699,72.18738255017324
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2008,69.86247309208721,70.2796310314868,69.42109235438996
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,2000,64.80492967501128,65.27381492812142,64.32850024965876
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,2000,69.8329024478944,70.2376191961317,69.3872721369451
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,2000,67.24293546292309,67.64070774933182,66.82631217504597
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,1990,62.99825006233946,63.52704888041623,62.482586887291866
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,1990,67.97409636890399,68.40716215107186,67.51062563699381
26,Life expectancy,1,Global,3,Both,28,<1 year,5,Years,1990,65.42069108037167,65.83893380283466,64.99432254861483
26,Life expectancy,1,Global,1,Male,28,<1 year,5,Years,1996,63.99250496559187,64.47879840443237,63.4689365972387
26,Life expectancy,1,Global,2,Female,28,<1 year,5,Years,1996,69.06023691153979,69.50132391347265,68.60781438802877
