measure_id,measure_name,location_id,location,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2018,64.7325466860899,67.62297184821823,61.57671415797368
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2018,63.51849674023889,66.00605548910765,60.759715683490064
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1994,56.0443204242924,58.05896867915988,53.9549115984612
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1994,58.66813409005325,61.276339507438095,55.853539186476524
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1994,57.3112431691788,59.5573372622929,54.89723587721661
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2006,58.96463115491536,60.966000717956774,56.733132627538026
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2006,61.482199508688424,64.17725367761247,58.55496938905063
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2006,60.18455369336444,62.4990226431949,57.67733363652593
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2010,60.11818990378225,62.127660084115284,57.87408994423284
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2010,62.77289978258194,65.50590520152693,59.76702156248954
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2010,61.404293631248464,63.78166650455255,58.78440804283525
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1991,55.88558365861489,57.839373828669494,53.75814938210124
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1991,58.34826886161165,60.87743642487182,55.5339399136295
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1991,57.08171612711195,59.28110106533207,54.6988898575428
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1999,57.16296552612828,59.104868344306794,55.04743390866027
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1999,59.622441757501036,62.19041385898232,56.72926695881607
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1999,58.352719288305856,60.6005385967756,55.855509086707976
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,1995,56.427969493290036,58.337533900325816,54.36282223217679
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,1995,58.98296769760114,61.50418584179059,56.21003240689903
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,1995,57.66147572552504,59.88029652731227,55.28436049374754
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2011,60.514684606548606,62.58497485135991,58.2085262126436
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2011,63.12156521885551,65.89435547157422,60.08519954389836
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2011,61.779602762848576,64.18447733231518,59.04441418793385
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2007,59.30667379383355,61.296111878616934,57.08516095915361
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2007,61.86651948997361,64.53080830639105,58.898087986070784
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2007,60.54743961860531,62.82024885010703,57.97704924292785
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2015,61.648187573564826,63.8228446319868,59.31112295010464
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2015,64.15027311536605,67.01246441858021,61.05240521839967
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2015,62.867516535559616,65.35444286043293,60.17434570350707
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2003,58.03328013036618,60.02648261207283,55.87342541841241
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2003,60.54488340209584,63.07750847372743,57.64401095534
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2003,59.247093329028225,61.52786873080932,56.77405928020486
28,HALE (Healthy life expectancy),1,Global,1,Male,28,<1 year,5,Years,2019,62.54682497359442,64.91250671427649,60.1874094941685
28,HALE (Healthy life expectancy),1,Global,2,Female,28,<1 year,5,Years,2019,64.87980741268652,67.78727095366115,61.735663780923
28,HALE (Healthy life expectancy),1,Global,3,Both,28,<1 year,5,Years,2019,63.686231749650155,66.24873418448294,60.934493087956994
